Cytochrom_B559_int_PsbJ, seqPair 1, auc = 0.837, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 8, auc = 1.000, sens = 1.000, spec = 0.867, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CBM_X_int_Glyco_transf_36, seqPair 2, auc = 0.851, sens = 0.904, spec = 0.779, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_B559_int_PsbJ, seqPair 11, auc = 0.995, sens = 0.929, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 1, auc = 0.889, sens = 0.967, spec = 0.806, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.917, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 3, auc = 0.998, sens = 1.000, spec = 0.968, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 2, auc = 0.967, sens = 0.963, spec = 0.963, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CBM_X_int_Glyco_transf_36, seqPair 3, auc = 0.859, sens = 0.913, spec = 0.795, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 4, auc = 0.973, sens = 0.960, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 4, auc = 1.000, sens = 0.969, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CBM_X_int_Glyco_transf_36, seqPair 4, auc = 0.924, sens = 0.992, spec = 0.814, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 5, auc = 0.992, sens = 0.960, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 3, auc = 1.000, sens = 0.981, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 5, auc = 0.978, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.714, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 2, auc = 0.897, sens = 0.968, spec = 0.824, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 6, auc = 0.893, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CBM_X_int_Glyco_transf_36, seqPair 5, auc = 0.903, sens = 0.983, spec = 0.807, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 6, auc = 0.998, sens = 0.931, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 4, auc = 0.997, sens = 0.962, spec = 0.980, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 7, auc = 0.969, sens = 0.955, spec = 0.955, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 7, auc = 0.999, sens = 1.000, spec = 0.970, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CBM_X_int_Glyco_transf_36, seqPair 6, auc = 0.937, sens = 0.983, spec = 0.852, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 8, auc = 0.886, sens = 1.000, spec = 0.760, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 8, auc = 0.995, sens = 0.938, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 3, auc = 0.895, sens = 1.000, spec = 0.667, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CBM_X_int_Glyco_transf_36, seqPair 7, auc = 0.914, sens = 1.000, spec = 0.829, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 5, auc = 0.979, sens = 1.000, spec = 0.943, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 5, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 9, auc = 0.913, sens = 0.857, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 1, auc = 0.874, sens = 0.864, spec = 0.731, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 9, auc = 0.971, sens = 0.935, spec = 0.967, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 2, auc = 0.941, sens = 1.000, spec = 0.944, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 2, auc = 1.000, sens = 0.962, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 10, auc = 0.936, sens = 0.957, spec = 0.815, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 3, auc = 0.615, sens = 0.947, spec = 0.643, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 6, auc = 0.984, sens = 0.929, spec = 0.963, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Endonuc-dimeris_int_Endonuclease_7, seqPair 10, auc = 0.968, sens = 1.000, spec = 0.943, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 6, auc = 0.918, sens = 0.857, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 4, auc = 0.873, sens = 0.857, spec = 0.750, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 11, auc = 1.000, sens = 1.000, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 1, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 5, auc = 0.921, sens = 0.857, spec = 0.818, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 4, auc = 0.907, sens = 0.981, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 2, auc = 0.891, sens = 1.000, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 6, auc = 0.935, sens = 0.900, spec = 0.818, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 7, auc = 0.980, sens = 1.000, spec = 0.895, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 12, auc = 0.938, sens = 1.000, spec = 0.923, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 5, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 7, auc = 1.000, sens = 0.857, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 7, auc = 0.873, sens = 1.000, spec = 0.720, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 8, auc = 0.895, sens = 0.944, spec = 0.773, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 4, auc = 0.918, sens = 1.000, spec = 0.538, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 13, auc = 0.929, sens = 1.000, spec = 0.765, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 9, auc = 0.889, sens = 0.952, spec = 0.741, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 8, auc = 0.997, sens = 0.981, spec = 0.963, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
BTK_int_PH, seqPair 10, auc = 0.901, sens = 0.889, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 14, auc = 1.000, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 6, auc = 0.714, sens = 1.000, spec = 0.636, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 5, auc = 0.905, sens = 1.000, spec = 0.818, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 7, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 15, auc = 0.785, sens = 0.750, spec = 0.923, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 9, auc = 0.997, sens = 0.981, spec = 0.946, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 8, auc = 0.734, sens = 1.000, spec = 0.727, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ATP-synt_DE_N_int_ATP-synt_Eps, seqPair 16, auc = 1.000, sens = 1.000, spec = 0.941, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 9, auc = 0.889, sens = 1.000, spec = 0.692, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 4, auc = 0.982, sens = 1.000, spec = 0.963, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 1, auc = 0.980, sens = 0.786, spec = 0.917, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 10, auc = 0.859, sens = 1.000, spec = 0.727, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 7, auc = 1.000, sens = 0.700, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 6, auc = 0.911, sens = 0.964, spec = 0.761, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 10, auc = 0.982, sens = 0.964, spec = 0.931, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 11, auc = 0.980, sens = 0.900, spec = 0.818, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 10, auc = 0.800, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 12, auc = 1.000, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 1, auc = 1.000, sens = 0.976, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 13, auc = 1.000, sens = 1.000, spec = 0.714, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 11, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 2, auc = 0.979, sens = 0.750, spec = 0.900, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 14, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 15, auc = 1.000, sens = 1.000, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 5, auc = 1.000, sens = 0.958, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 7, auc = 0.911, sens = 0.981, spec = 0.825, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 2, auc = 0.998, sens = 0.951, spec = 0.975, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 16, auc = 0.922, sens = 1.000, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 12, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 17, auc = 1.000, sens = 1.000, spec = 0.667, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 18, auc = 0.969, sens = 1.000, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 3, auc = 0.971, sens = 0.976, spec = 0.953, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EndIII_4Fe-2S_int_HhH-GPD, seqPair 19, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EFG_C_int_LepA_C, seqPair 11, auc = 1.000, sens = 1.000, spec = 0.980, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 13, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 8, auc = 0.895, sens = 1.000, spec = 0.761, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 1, auc = 1.000, sens = 0.889, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 6, auc = 0.989, sens = 0.960, spec = 0.960, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 4, auc = 0.970, sens = 0.951, spec = 0.951, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 14, auc = 1.000, sens = 0.857, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 4, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 5, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 9, auc = 0.913, sens = 0.982, spec = 0.846, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 6, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 15, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 5, auc = 0.999, sens = 0.976, spec = 0.953, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 7, auc = 1.000, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 7, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 5, auc = 1.000, sens = 0.923, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 11, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 9, auc = 0.975, sens = 0.889, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 16, auc = 1.000, sens = 0.833, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 6, auc = 0.987, sens = 0.949, spec = 0.974, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH_4Fe-4S, seqPair 10, auc = 0.988, sens = 0.889, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 10, auc = 0.932, sens = 1.000, spec = 0.783, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 12, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 6, auc = 0.986, sens = 1.000, spec = 0.944, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 1, auc = 1.000, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 17, auc = 0.972, sens = 0.833, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 5, auc = 0.929, sens = 1.000, spec = 0.867, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 2, auc = 1.000, sens = 1.000, spec = 0.824, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 7, auc = 0.964, sens = 0.976, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 3, auc = 0.954, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 11, auc = 0.914, sens = 0.984, spec = 0.811, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 18, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 6, auc = 1.000, sens = 1.000, spec = 0.769, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 13, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 4, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 7, auc = 0.942, sens = 1.000, spec = 0.938, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 8, auc = 0.983, sens = 0.974, spec = 0.974, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 5, auc = 0.954, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 7, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
eIF2_C_int_GTP_EFTU_D2, seqPair 19, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 6, auc = 0.954, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
