2013-11-21 12:22 STARTED.
Training accuracy: 79.032%
Training recall: 65.323%
Training precision: 90.000%
Training f_measure: 75.701%
Testing AUC: 95.918%
Testing accuracy: 85.714%
Testing recall: 71.429%
Testing precision: 100.000%
Testing f_measure: 83.333%



PF00017.16_int_PF00018.20, seqPair 20, auc = 0.959, sens = 0.714, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 91.632%
Training accuracy: 78.571%
Training recall: 65.546%
Training precision: 88.636%
Training f_measure: 75.362%
Testing AUC: 84.722%
Testing accuracy: 79.167%
Testing recall: 75.000%
Testing precision: 81.818%
Testing f_measure: 78.261%



PF00017.16_int_PF00018.20, seqPair 21, auc = 0.847, sens = 0.750, spec = 0.818, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 91.331%
Training accuracy: 74.312%
Training recall: 55.046%
Training precision: 89.552%
Training f_measure: 68.182%
Testing AUC: 97.521%
Testing accuracy: 86.364%
Testing recall: 77.273%
Testing precision: 94.444%
Testing f_measure: 85.000%



PF00017.16_int_PF00018.20, seqPair 22, auc = 0.975, sens = 0.773, spec = 0.944, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 12:43 SUCCESS: PF00017.16_int_PF00018.20.


Training AUC: 90.855%
Training accuracy: 70.414%
Training recall: 43.195%
Training precision: 94.805%
Training f_measure: 59.350%
Testing AUC: 96.121%
Testing accuracy: 87.179%
Testing recall: 82.051%
Testing precision: 91.429%
Testing f_measure: 86.486%



PF00025.13_int_PF00025.13, seqPair 1, auc = 0.961, sens = 0.821, spec = 0.914, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 91.627%
Training accuracy: 77.596%
Training recall: 61.202%
Training precision: 91.057%
Training f_measure: 73.203%
Testing AUC: 97.600%
Testing accuracy: 84.000%
Testing recall: 68.000%
Testing precision: 100.000%
Testing f_measure: 80.952%



PF00025.13_int_PF00025.13, seqPair 2, auc = 0.976, sens = 0.680, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 91.834%
Training accuracy: 77.638%
Training recall: 62.814%
Training precision: 89.286%
Training f_measure: 73.746%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00025.13_int_PF00025.13, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 91.779%
Training accuracy: 74.176%
Training recall: 54.396%
Training precision: 90.000%
Training f_measure: 67.808%
Testing AUC: 95.266%
Testing accuracy: 73.077%
Testing recall: 46.154%
Testing precision: 100.000%
Testing f_measure: 63.158%



PF00025.13_int_PF00025.13, seqPair 6, auc = 0.953, sens = 0.462, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 91.831%
Training accuracy: 79.839%
Training recall: 66.129%
Training precision: 91.111%
Training f_measure: 76.636%
Testing AUC: 95.041%
Testing accuracy: 77.273%
Testing recall: 63.636%
Testing precision: 87.500%
Testing f_measure: 73.684%



PF00025.13_int_PF00025.13, seqPair 7, auc = 0.950, sens = 0.636, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 93.712%
Training accuracy: 82.292%
Training recall: 68.750%
Training precision: 94.286%
Training f_measure: 79.518%
Testing AUC: 100.000%
Testing accuracy: 96.875%
Testing recall: 100.000%
Testing precision: 94.118%
Testing f_measure: 96.970%



PF00025.13_int_PF00025.13, seqPair 10, auc = 1.000, sens = 1.000, spec = 0.941, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 94.232%
Training accuracy: 85.714%
Training recall: 77.381%
Training precision: 92.857%
Training f_measure: 84.416%
Testing AUC: 89.875%
Testing accuracy: 60.000%
Testing recall: 25.000%
Testing precision: 83.333%
Testing f_measure: 38.462%



PF00025.13_int_PF00025.13, seqPair 11, auc = 0.899, sens = 0.250, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 93.182%
Training accuracy: 82.732%
Training recall: 72.165%
Training precision: 91.503%
Training f_measure: 80.692%
Testing AUC: 65.306%
Testing accuracy: 50.000%
Testing recall: 7.143%
Testing precision: 50.000%
Testing f_measure: 12.500%



PF00025.13_int_PF00025.13, seqPair 15, auc = 0.653, sens = 0.071, spec = 0.500, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 91.944%
Training accuracy: 80.366%
Training recall: 68.586%
Training precision: 89.726%
Training f_measure: 77.745%
Testing AUC: 94.464%
Testing accuracy: 82.353%
Testing recall: 70.588%
Testing precision: 92.308%
Testing f_measure: 80.000%



PF00025.13_int_PF00025.13, seqPair 21, auc = 0.945, sens = 0.706, spec = 0.923, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 13:20 SUCCESS: PF00025.13_int_PF00025.13.


Training AUC: 78.508%
Training accuracy: 67.021%
Training recall: 36.170%
Training precision: 94.444%
Training f_measure: 52.308%
Testing AUC: 100.000%
Testing accuracy: 50.000%
Testing recall: 0.000%
Testing precision: 0.000%
Testing f_measure: 0.000%



PF00028.9_int_PF00028.9, seqPair 1, auc = 1.000, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 78.551%
Training accuracy: 68.367%
Training recall: 40.816%
Training precision: 90.909%
Training f_measure: 56.338%
Testing AUC: 71.429%
Testing accuracy: 42.857%
Testing recall: 0.000%
Testing precision: 0.000%
Testing f_measure: 0.000%



PF00028.9_int_PF00028.9, seqPair 3, auc = 0.714, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 85.643%
Training accuracy: 72.152%
Training recall: 46.835%
Training precision: 94.872%
Training f_measure: 62.712%
Testing AUC: 51.479%
Testing accuracy: 55.769%
Testing recall: 15.385%
Testing precision: 80.000%
Testing f_measure: 25.806%



PF00028.9_int_PF00028.9, seqPair 7, auc = 0.515, sens = 0.154, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 81.793%
Training accuracy: 69.792%
Training recall: 41.667%
Training precision: 95.238%
Training f_measure: 57.971%
Testing AUC: 97.531%
Testing accuracy: 50.000%
Testing recall: 0.000%
Testing precision: 0.000%
Testing f_measure: 0.000%



PF00028.9_int_PF00028.9, seqPair 8, auc = 0.975, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 79.205%
Training accuracy: 61.494%
Training recall: 28.736%
Training precision: 83.333%
Training f_measure: 42.735%
Testing AUC: 98.148%
Testing accuracy: 97.222%
Testing recall: 100.000%
Testing precision: 94.737%
Testing f_measure: 97.297%



PF00028.9_int_PF00028.9, seqPair 19, auc = 0.981, sens = 1.000, spec = 0.947, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 82.936%
Training accuracy: 63.684%
Training recall: 30.526%
Training precision: 90.625%
Training f_measure: 45.669%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00028.9_int_PF00028.9, seqPair 20, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 79.012%
Training accuracy: 64.141%
Training recall: 34.343%
Training precision: 85.000%
Training f_measure: 48.921%
Testing AUC: 100.000%
Testing accuracy: 50.000%
Testing recall: 0.000%
Testing precision: 0.000%
Testing f_measure: 0.000%



PF00028.9_int_PF00028.9, seqPair 21, auc = 1.000, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 85.044%
Training accuracy: 68.391%
Training recall: 42.529%
Training precision: 88.095%
Training f_measure: 57.364%
Testing AUC: 54.630%
Testing accuracy: 50.000%
Testing recall: 0.000%
Testing precision: 0.000%
Testing f_measure: 0.000%



PF00028.9_int_PF00028.9, seqPair 22, auc = 0.546, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 13:35 SUCCESS: PF00028.9_int_PF00028.9.


Training AUC: 99.802%
Training accuracy: 96.364%
Training recall: 96.364%
Training precision: 96.364%
Training f_measure: 96.364%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00032.9_int_PF02271.8, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 100.000%
Training accuracy: 99.057%
Training recall: 100.000%
Training precision: 98.148%
Training f_measure: 99.065%
Testing AUC: 98.148%
Testing accuracy: 88.889%
Testing recall: 88.889%
Testing precision: 88.889%
Testing f_measure: 88.889%



PF00032.9_int_PF02271.8, seqPair 2, auc = 0.981, sens = 0.889, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.640%
Training accuracy: 98.000%
Training recall: 96.000%
Training precision: 100.000%
Training f_measure: 97.959%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00032.9_int_PF02271.8, seqPair 5, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 100.000%
Training accuracy: 98.182%
Training recall: 96.364%
Training precision: 100.000%
Training f_measure: 98.148%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00032.9_int_PF02271.8, seqPair 31, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 13:41 SUCCESS: PF00032.9_int_PF02271.8.


Training AUC: 99.647%
Training accuracy: 96.629%
Training recall: 95.506%
Training precision: 97.701%
Training f_measure: 96.591%
Testing AUC: 95.360%
Testing accuracy: 96.000%
Testing recall: 100.000%
Testing precision: 92.593%
Testing f_measure: 96.154%



PF00032.9_int_PF02939.8, seqPair 1, auc = 0.954, sens = 1.000, spec = 0.926, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 96.940%
Training accuracy: 96.023%
Training recall: 96.591%
Training precision: 95.506%
Training f_measure: 96.045%
Testing AUC: 99.852%
Testing accuracy: 98.077%
Testing recall: 96.154%
Testing precision: 100.000%
Testing f_measure: 98.039%



PF00032.9_int_PF02939.8, seqPair 2, auc = 0.999, sens = 0.962, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.968%
Training accuracy: 98.734%
Training recall: 97.468%
Training precision: 100.000%
Training f_measure: 98.718%
Testing AUC: 99.102%
Testing accuracy: 95.714%
Testing recall: 94.286%
Testing precision: 97.059%
Testing f_measure: 95.652%



PF00032.9_int_PF02939.8, seqPair 5, auc = 0.991, sens = 0.943, spec = 0.971, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.946%
Training accuracy: 98.256%
Training recall: 96.512%
Training precision: 100.000%
Training f_measure: 98.225%
Testing AUC: 100.000%
Testing accuracy: 98.214%
Testing recall: 96.429%
Testing precision: 100.000%
Testing f_measure: 98.182%



PF00032.9_int_PF02939.8, seqPair 31, auc = 1.000, sens = 0.964, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 13:47 SUCCESS: PF00032.9_int_PF02939.8.


Training AUC: 98.727%
Training accuracy: 94.071%
Training recall: 94.466%
Training precision: 93.725%
Training f_measure: 94.094%
Testing AUC: 98.843%
Testing accuracy: 89.091%
Testing recall: 80.000%
Testing precision: 97.778%
Testing f_measure: 88.000%



PF00033.11_int_PF00033.11, seqPair 1, auc = 0.988, sens = 0.800, spec = 0.978, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 98.277%
Training accuracy: 91.304%
Training recall: 92.885%
Training precision: 90.038%
Training f_measure: 91.440%
Testing AUC: 99.603%
Testing accuracy: 92.727%
Testing recall: 96.364%
Testing precision: 89.831%
Testing f_measure: 92.982%



PF00033.11_int_PF00033.11, seqPair 2, auc = 0.996, sens = 0.964, spec = 0.898, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 98.590%
Training accuracy: 95.312%
Training recall: 95.703%
Training precision: 94.961%
Training f_measure: 95.331%
Testing AUC: 98.743%
Testing accuracy: 87.500%
Testing recall: 76.923%
Testing precision: 97.561%
Testing f_measure: 86.022%



PF00033.11_int_PF00033.11, seqPair 5, auc = 0.987, sens = 0.769, spec = 0.976, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 98.139%
Training accuracy: 93.939%
Training recall: 89.773%
Training precision: 97.934%
Training f_measure: 93.676%
Testing AUC: 98.967%
Testing accuracy: 93.182%
Testing recall: 95.455%
Testing precision: 91.304%
Testing f_measure: 93.333%



PF00033.11_int_PF00033.11, seqPair 6, auc = 0.990, sens = 0.955, spec = 0.913, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 97.627%
Training accuracy: 92.647%
Training recall: 89.076%
Training precision: 95.928%
Training f_measure: 92.375%
Testing AUC: 98.122%
Testing accuracy: 97.143%
Testing recall: 100.000%
Testing precision: 94.595%
Testing f_measure: 97.222%



PF00033.11_int_PF00033.11, seqPair 9, auc = 0.981, sens = 1.000, spec = 0.946, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 97.885%
Training accuracy: 88.406%
Training recall: 90.942%
Training precision: 86.552%
Training f_measure: 88.693%
Testing AUC: 100.000%
Testing accuracy: 98.438%
Testing recall: 96.875%
Testing precision: 100.000%
Testing f_measure: 98.413%



PF00033.11_int_PF00033.11, seqPair 20, auc = 1.000, sens = 0.969, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 14:12 SUCCESS: PF00033.11_int_PF00033.11.


Training AUC: 99.522%
Training accuracy: 94.643%
Training recall: 96.429%
Training precision: 93.103%
Training f_measure: 94.737%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF00355.18, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.835%
Training accuracy: 98.182%
Training recall: 98.182%
Training precision: 98.182%
Training f_measure: 98.182%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF00355.18, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.458%
Training accuracy: 96.429%
Training recall: 94.643%
Training precision: 98.148%
Training f_measure: 96.364%
Testing AUC: 100.000%
Testing accuracy: 90.000%
Testing recall: 80.000%
Testing precision: 100.000%
Testing f_measure: 88.889%



PF00033.11_int_PF00355.18, seqPair 7, auc = 1.000, sens = 0.800, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.970%
Training accuracy: 99.138%
Training recall: 100.000%
Training precision: 98.305%
Training f_measure: 99.145%
Testing AUC: 100.000%
Testing accuracy: 93.750%
Testing recall: 87.500%
Testing precision: 100.000%
Testing f_measure: 93.333%



PF00033.11_int_PF00355.18, seqPair 8, auc = 1.000, sens = 0.875, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.405%
Training accuracy: 95.690%
Training recall: 98.276%
Training precision: 93.443%
Training f_measure: 95.798%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF00355.18, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.354%
Training accuracy: 94.737%
Training recall: 96.491%
Training precision: 93.220%
Training f_measure: 94.828%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF00355.18, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 99.617%
Training accuracy: 92.857%
Training recall: 85.714%
Training precision: 100.000%
Training f_measure: 92.308%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF00355.18, seqPair 39, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 14:29 SUCCESS: PF00033.11_int_PF00355.18.


Training AUC: 100.000%
Training accuracy: 96.667%
Training recall: 93.333%
Training precision: 100.000%
Training f_measure: 96.552%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF02271.8, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 100.000%
Training accuracy: 96.429%
Training recall: 100.000%
Training precision: 93.333%
Training f_measure: 96.552%
Testing AUC: 95.918%
Testing accuracy: 85.714%
Testing recall: 85.714%
Testing precision: 85.714%
Testing f_measure: 85.714%



PF00033.11_int_PF02271.8, seqPair 2, auc = 0.959, sens = 0.857, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 98.225%
Training accuracy: 92.308%
Training recall: 84.615%
Training precision: 100.000%
Training f_measure: 91.667%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF02271.8, seqPair 5, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 14:33 SUCCESS: PF00033.11_int_PF02271.8.


Training AUC: 100.000%
Training accuracy: 92.857%
Training recall: 100.000%
Training precision: 87.500%
Training f_measure: 93.333%
Testing AUC: 100.000%
Testing accuracy: 91.667%
Testing recall: 100.000%
Testing precision: 85.714%
Testing f_measure: 92.308%



PF00033.11_int_PF02939.8, seqPair 1, auc = 1.000, sens = 1.000, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 100.000%
Training accuracy: 91.667%
Training recall: 100.000%
Training precision: 85.714%
Training f_measure: 92.308%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF02939.8, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 100.000%
Training accuracy: 96.429%
Training recall: 100.000%
Training precision: 93.333%
Training f_measure: 96.552%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00033.11_int_PF02939.8, seqPair 26, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 14:36 SUCCESS: PF00033.11_int_PF02939.8.


Training AUC: 100.000%
Training accuracy: 97.222%
Training recall: 100.000%
Training precision: 94.737%
Training f_measure: 97.297%
Testing AUC: 100.000%
Testing accuracy: 87.500%
Testing recall: 75.000%
Testing precision: 100.000%
Testing f_measure: 85.714%



PF00034.13_int_PF00141.15, seqPair 1, auc = 1.000, sens = 0.750, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 96.875%
Training accuracy: 87.500%
Training recall: 75.000%
Training precision: 100.000%
Training f_measure: 85.714%
Testing AUC: 95.988%
Testing accuracy: 86.111%
Testing recall: 77.778%
Testing precision: 93.333%
Testing f_measure: 84.848%



PF00034.13_int_PF00141.15, seqPair 7, auc = 0.960, sens = 0.778, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 14:39 SUCCESS: PF00034.13_int_PF00141.15.


Training AUC: 100.000%
Training accuracy: 100.000%
Training recall: 100.000%
Training precision: 100.000%
Training f_measure: 100.000%
Testing AUC: 100.000%
Testing accuracy: 100.000%
Testing recall: 100.000%
Testing precision: 100.000%
Testing f_measure: 100.000%



PF00034.13_int_PF02239.8, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 100.000%
Training accuracy: 100.000%
Training recall: 100.000%
Training precision: 100.000%
Training f_measure: 100.000%
Testing AUC: 99.609%
Testing accuracy: 87.500%
Testing recall: 75.000%
Testing precision: 100.000%
Testing f_measure: 85.714%



PF00034.13_int_PF02239.8, seqPair 6, auc = 0.996, sens = 0.750, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.





2013-11-21 14:46 SUCCESS: PF00034.13_int_PF02239.8.


Training AUC: 85.916%
Training accuracy: 69.540%
Training recall: 43.678%
Training precision: 90.476%
Training f_measure: 58.915%
Testing AUC: 96.296%
Testing accuracy: 61.111%
Testing recall: 22.222%
Testing precision: 100.000%
Testing f_measure: 36.364%



PF00051.10_int_PF00051.10, seqPair 1, auc = 0.963, sens = 0.222, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 85.678%
Training accuracy: 69.540%
Training recall: 43.678%
Training precision: 90.476%
Training f_measure: 58.915%
Testing AUC: 100.000%
Testing accuracy: 94.444%
Testing recall: 88.889%
Testing precision: 100.000%
Testing f_measure: 94.118%



PF00051.10_int_PF00051.10, seqPair 3, auc = 1.000, sens = 0.889, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 84.257%
Training accuracy: 61.798%
Training recall: 25.843%
Training precision: 92.000%
Training f_measure: 40.351%
Testing AUC: 100.000%
Testing accuracy: 64.286%
Testing recall: 28.571%
Testing precision: 100.000%
Testing f_measure: 44.444%



PF00051.10_int_PF00051.10, seqPair 4, auc = 1.000, sens = 0.286, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 92.604%
Training accuracy: 71.512%
Training recall: 47.674%
Training precision: 91.111%
Training f_measure: 62.595%
Testing AUC: 79.000%
Testing accuracy: 60.000%
Testing recall: 20.000%
Testing precision: 100.000%
Testing f_measure: 33.333%



PF00051.10_int_PF00051.10, seqPair 5, auc = 0.790, sens = 0.200, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 83.776%
Training accuracy: 63.793%
Training recall: 31.034%
Training precision: 90.000%
Training f_measure: 46.154%
Testing AUC: 77.778%
Testing accuracy: 50.000%
Testing recall: 0.000%
Testing precision: 0.000%
Testing f_measure: 0.000%



PF00051.10_int_PF00051.10, seqPair 6, auc = 0.778, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.


Training AUC: 86.184%
Training accuracy: 70.122%
